[61, 286]
[71, 284]
[78, 288]
[78, 288]
[78, 288]
[283, 106]
[298, 116]
[315, 129]
[315, 129]
[315, 129]
[315, 129]
[436, 290]
[444, 288]
[444, 288]
[435, 121]
[443, 131]
[443, 131]
[443, 131]
[443, 131]
[443, 131]
[443, 131]
[515, 297]
[530, 309]
[535, 316]
[551, 345]
[551, 345]
[551, 351]
[543, 350]
[541, 350]
[541, 350]
[484, 128]
[473, 101]
[468, 107]
[460, 123]
[457, 131]
[350, 274]
[436, 202]
[436, 202]
[436, 202]
[436, 202]
[436, 202]
[436, 202]
[436, 202]
[436, 202]
[410, 94]
[515, 208]
[441, 95]
[467, 118]
[484, 137]
[515, 182]
[537, 218]
[537, 218]
[537, 218]
[439, 224]
[511, 306]
[511, 306]
[511, 306]
[447, 121]
[447, 103]
[462, 120]
[473, 135]
[491, 172]
[505, 203]
[505, 203]
[505, 203]
[561, 292]
[574, 294]
[583, 304]
[588, 318]
[588, 318]
[588, 318]
[588, 318]
[570, 350]
[557, 352]
[557, 352]
[458, 110]
[465, 117]
[475, 132]
[475, 132]
[498, 185]
[507, 216]
[507, 216]
[534, 320]
[543, 316]
[556, 318]
[565, 326]
[578, 345]
[569, 321]
[563, 311]
[553, 306]
[550, 306]
[550, 306]
[371, 205]
[464, 106]
[471, 110]
[483, 124]
[492, 138]
[492, 138]
[518, 199]
[536, 255]
[536, 255]
[536, 255]
[573, 323]
[597, 334]
[610, 348]
[610, 343]
[601, 318]
[588, 306]
[581, 307]
[573, 313]
[573, 313]
[573, 313]
[355, 122]
[346, 126]
[346, 126]
[346, 126]
[346, 126]
[203, 281]
[195, 279]
[195, 279]
[195, 279]
[195, 279]
[195, 279]
[195, 279]
[173, 197]
[173, 197]
[173, 197]
[173, 197]
[173, 197]
[128, 278]
[128, 278]
[128, 278]
[128, 278]
[128, 278]
[379, 114]
[406, 127]
[406, 127]
[406, 127]
[548, 246]
[546, 281]
[520, 344]
[511, 352]
[306, 220]
[307, 219]
[304, 211]
[303, 207]
[305, 209]
[306, 213]
[307, 213]
[304, 215]
[304, 215]
[304, 215]
[304, 215]
[431, 124]
[431, 124]
[431, 124]
[488, 179]
[495, 200]
[495, 200]
[495, 200]
[453, 218]
[453, 218]
[453, 218]
[466, 124]
[388, 138]
[379, 139]
[373, 139]
[469, 205]
[469, 205]
[469, 205]
[469, 205]
[469, 205]
[434, 240]
[428, 246]
[422, 258]
[422, 258]
[422, 258]
[422, 118]
[432, 127]
[432, 127]
[432, 127]
[468, 185]
[468, 185]
[468, 185]
[468, 185]
[468, 185]
[468, 185]
[468, 185]
[323, 117]
[301, 131]
[301, 131]
[301, 131]
[301, 131]
[301, 131]
[301, 131]
[301, 131]
[100, 254]
[111, 258]
[115, 261]
[58, 113]
[58, 113]
[310, 106]
[324, 117]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[453, 279]
[469, 277]
[58, 113]
[58, 113]
[416, 104]
[418, 111]
[421, 130]
[58, 113]
[58, 113]
[58, 113]
[436, 280]
[441, 275]
[58, 113]
[58, 113]
[451, 93]
[463, 101]
[484, 119]
[499, 135]
[524, 172]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[551, 340]
