Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type
22,"[[    0.22896     0.74944]
 [    0.22992     0.74197]
 [          0           0]
 [    0.23662     0.73759]
 [          0           0]
 [    0.24715     0.76166]
 [    0.26464     0.73423]
 [    0.25092     0.82812]
 [    0.28335     0.76347]
 [    0.24641     0.85466]
 [    0.28205      0.7831]
 [    0.28457     0.83446]
 [    0.29665     0.82139]
 [    0.24404     0.89263]
 [    0.26354     0.87278]
 [    0.25699     0.96732]
 [    0.27739     0.94655]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45126     0.52964]
 [    0.46781     0.52347]
 [    0.44793     0.56552]
 [     0.4838     0.55525]
 [    0.44426     0.61542]
 [    0.50291     0.60305]
 [    0.45068     0.64144]
 [    0.50895     0.63162]
 [    0.46366     0.65934]
 [    0.49025     0.65481]
 [    0.44361     0.73025]
 [     0.4949      0.7264]
 [    0.43398     0.80541]
 [    0.50118      0.7979]]","[97, 335]",tight_straight drive
23,"[[    0.22879     0.74939]
 [    0.22971     0.74199]
 [          0           0]
 [    0.23637     0.73781]
 [          0           0]
 [    0.24696     0.76203]
 [     0.2647     0.73409]
 [    0.25091     0.82877]
 [    0.28328     0.76295]
 [    0.24635     0.85498]
 [    0.28187     0.78213]
 [     0.2845     0.83468]
 [    0.29678     0.82138]
 [    0.24405     0.89283]
 [     0.2637     0.87255]
 [    0.25691     0.96745]
 [    0.27763     0.94608]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45125     0.52965]
 [    0.46782     0.52348]
 [    0.44793     0.56552]
 [    0.48379     0.55525]
 [    0.44428     0.61539]
 [    0.50292     0.60305]
 [    0.45072     0.64143]
 [    0.50895     0.63163]
 [    0.46366     0.65932]
 [    0.49025     0.65479]
 [    0.44361     0.73017]
 [    0.49488     0.72632]
 [      0.434     0.80537]
 [     0.5012     0.79787]]","[97, 335]",tight_straight drive
24,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.23356      0.7224]
 [          0           0]
 [    0.24263     0.75385]
 [    0.27558     0.72125]
 [    0.25482     0.82202]
 [    0.30568     0.75935]
 [    0.25051     0.82195]
 [    0.31644     0.78234]
 [    0.28553     0.83783]
 [      0.304     0.82206]
 [     0.2608     0.90698]
 [    0.26013      0.8774]
 [    0.28016     0.97921]
 [    0.26018     0.94628]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45316     0.53472]
 [    0.46753     0.52979]
 [    0.44896     0.57139]
 [    0.48233     0.56304]
 [     0.4472     0.62038]
 [    0.50083     0.60947]
 [    0.45492     0.64973]
 [    0.50679     0.64003]
 [     0.4617     0.66203]
 [    0.48803     0.65832]
 [    0.44148     0.73172]
 [    0.49832     0.72835]
 [    0.43048     0.80396]
 [    0.50993     0.79754]]","[97, 335]",tight_straight drive
25,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.24436     0.70605]
 [          0           0]
 [    0.25287     0.73975]
 [    0.28542     0.70039]
 [    0.26556     0.79557]
 [    0.31361     0.72393]
 [    0.25848     0.78973]
 [    0.32649      0.7609]
 [    0.29017     0.82707]
 [    0.30811      0.8071]
 [    0.26939     0.90507]
 [    0.26852     0.86693]
 [    0.28484      0.9589]
 [    0.26395     0.91908]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45377     0.54673]
 [          0           0]
 [    0.45164      0.5814]
 [    0.48729     0.57395]
 [    0.44478     0.63378]
 [    0.50524       0.631]
 [    0.44674     0.64149]
 [    0.50568     0.65221]
 [    0.46265     0.67736]
 [    0.49198     0.67266]
 [    0.43737     0.74077]
 [    0.49782     0.73262]
 [     0.4226      0.8159]
 [    0.51266     0.80621]]","[97, 335]",tight_straight drive
26,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.25048      0.6858]
 [    0.27081     0.67272]
 [    0.26048     0.71762]
 [    0.29314     0.69375]
 [    0.26502      0.7732]
 [     0.3322     0.73687]
 [    0.25998     0.79096]
 [    0.34532     0.76085]
 [    0.28729     0.82148]
 [      0.307     0.80938]
 [    0.26492     0.90171]
 [    0.28812     0.88861]
 [    0.26805     0.97449]
 [    0.28978     0.95307]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45564     0.55717]
 [     0.4726     0.55048]
 [     0.4512     0.59308]
 [    0.48595     0.58334]
 [    0.44282      0.6457]
 [    0.50314     0.63855]
 [    0.44422     0.65262]
 [    0.50757     0.66144]
 [    0.46276     0.68873]
 [     0.4914     0.68379]
 [    0.43899     0.74727]
 [    0.49991     0.73815]
 [    0.42395     0.81898]
 [    0.51535     0.80902]]","[319, 129]",crosscourt drive
27,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.27132       0.662]
 [          0           0]
 [    0.27692     0.70167]
 [    0.30956     0.67745]
 [    0.26797     0.75827]
 [    0.33611     0.72214]
 [    0.26723     0.75765]
 [    0.34544     0.75714]
 [    0.29564     0.81208]
 [    0.31187      0.7983]
 [     0.2782     0.90294]
 [    0.27019     0.88134]
 [    0.29667     0.96731]
 [    0.26707      0.9484]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.46025     0.57168]
 [    0.47619      0.5663]
 [    0.45242     0.60891]
 [    0.48906     0.60146]
 [     0.4414     0.66583]
 [    0.50398      0.6629]
 [     0.4406     0.68149]
 [     0.5079     0.69359]
 [    0.46046     0.70296]
 [     0.4909     0.69936]
 [    0.43957     0.75153]
 [     0.5056     0.74482]
 [    0.42292     0.82166]
 [    0.51928     0.81564]]","[319, 129]",crosscourt drive
28,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.26831     0.65143]
 [          0           0]
 [    0.27352     0.68999]
 [     0.3126     0.67188]
 [    0.27564     0.74241]
 [    0.34286     0.71601]
 [    0.27585     0.75982]
 [    0.35152     0.73742]
 [    0.29549     0.79705]
 [    0.31895     0.78774]
 [     0.2862     0.88535]
 [    0.30061     0.87627]
 [    0.29154     0.96918]
 [    0.29591     0.95335]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.46522     0.58256]
 [    0.47985     0.57863]
 [    0.45679     0.61515]
 [    0.49252     0.61043]
 [    0.44275     0.67038]
 [    0.50343     0.66908]
 [     0.4368     0.70414]
 [    0.50394     0.70293]
 [    0.46199     0.70187]
 [    0.49204     0.69982]
 [    0.44234     0.74439]
 [    0.50809     0.74134]
 [    0.42409     0.81673]
 [    0.51849     0.81375]]","[319, 129]",crosscourt drive
29,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.26837     0.65158]
 [          0           0]
 [    0.27351     0.68983]
 [    0.31256     0.67194]
 [    0.27546     0.74204]
 [    0.34268     0.71591]
 [    0.27566     0.75885]
 [    0.35137     0.73663]
 [    0.29541     0.79685]
 [    0.31878     0.78761]
 [    0.28617     0.88489]
 [    0.30017     0.87589]
 [    0.29179     0.96834]
 [    0.29542     0.95263]]","[[          0           0]
 [          0           0]
 [          0           0]
 [     0.4652     0.58231]
 [    0.47976     0.57835]
 [    0.45665     0.61486]
 [    0.49243      0.6101]
 [     0.4426     0.66997]
 [    0.50331     0.66867]
 [     0.4368     0.70347]
 [    0.50406      0.7024]
 [    0.46178     0.70124]
 [    0.49187     0.69917]
 [     0.4422     0.74407]
 [    0.50811     0.74094]
 [    0.42408     0.81641]
 [    0.51862     0.81329]]","[319, 129]",crosscourt drive
30,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.27775     0.64017]
 [    0.29701     0.63127]
 [    0.27584     0.68588]
 [      0.318     0.66136]
 [    0.27308     0.74369]
 [    0.34283     0.70376]
 [    0.27514     0.74982]
 [    0.35101     0.73868]
 [    0.30326     0.79117]
 [    0.32809       0.779]
 [    0.28925     0.87717]
 [    0.29769     0.85624]
 [    0.30826     0.95466]
 [    0.29999     0.93705]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.47403     0.58951]
 [    0.48875     0.59057]
 [    0.46106     0.62537]
 [     0.4987     0.62758]
 [     0.4492     0.67328]
 [     0.5114     0.67817]
 [    0.45211     0.70741]
 [    0.51126      0.7107]
 [    0.46394     0.71963]
 [    0.49463     0.72105]
 [    0.44192     0.73756]
 [    0.51185     0.73939]
 [    0.42385     0.80418]
 [    0.52351     0.80666]]","[319, 129]",crosscourt drive
31,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.28519     0.63143]
 [    0.30531     0.62186]
 [    0.28368     0.67607]
 [    0.32501      0.6593]
 [    0.27589     0.73244]
 [    0.35505     0.70888]
 [    0.26977     0.76029]
 [    0.36048     0.74366]
 [    0.30636     0.78409]
 [     0.3302     0.77615]
 [     0.3007     0.86394]
 [    0.31158     0.85612]
 [    0.31073     0.95312]
 [    0.30708     0.93958]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.48312     0.59281]
 [    0.49835     0.59317]
 [    0.47165     0.63106]
 [    0.50889     0.63145]
 [    0.45967     0.67611]
 [    0.51876     0.67787]
 [    0.45905     0.70401]
 [    0.51424     0.70659]
 [    0.47012     0.71894]
 [    0.50104      0.7188]
 [    0.44665     0.73572]
 [    0.51862     0.73623]
 [    0.42218     0.80531]
 [    0.52682     0.80553]]","[319, 129]",crosscourt drive
